Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
64.700001;65.924196;66.432746887207;52.2312393188477;35.5697512626648;44.6107041251778;1;0;0;0;0;0;1;37.004;91.5160332940465;1;0;0
69.300002;60.490648;66.4813232421875;40.5502014160156;50.6642401218414;54.146479374111;1;0;0;0;0;0;1;40.111;84.6801269206697;1;0;0
21.4;481.85922;938.339599609375;800.751586914062;34.1033309698105;86.278828549263;0;0;0;1;0;0;0;76.292;51.991352297526;0;1;0
17.900001;335.58231;701.062194824219;600.836975097656;32.8912109136581;83.2651823118697;0;0;0;1;0;0;0;79.058;55.5851598567029;0;1;0
56.2;215.48;325.165008544922;188.796401977539;54.1765213012695;108.153798058977;0;0;0;0;1;0;0;45.332;91.255325844573;1;0;0
50.999999;198.20117;332.224700927734;194.972900390625;54.5707225799561;123.3046845838;0;0;0;0;1;0;0;47.21;85.1516003729002;1;0;0
59.299999;204.8642;258.624298095703;169.739501953125;48.2785910367966;142.836095558044;0;0;0;0;1;0;0;49.634;70.3674121227947;1;0;0
35.100001;121.18815;227.455993652344;164.303894042969;44.5520490407944;3.8291998983998;0;0;0;0;1;0;0;28.871;65.0499127430222;1;0;0
49.5;153.6;242.263900756836;156.328903198242;50.3004789352417;80.0392260255608;0;0;0;0;1;0;0;54.514;63.1579359683201;1;0;0
48.9;161.7;253.544403076172;168.249206542969;49.8118609189987;82.8563321118956;0;0;0;0;1;0;0;55.813;59.8489823907047;1;0;0
48.300001;160.29507;249.162796020508;166.063400268555;48.9377796649933;85.6870319063366;0;0;0;0;1;0;0;57.096;57.3106156815722;1;0;0
20.900001;351.15183;590.626281738281;508.348785400391;32.3797702789307;76.758881343817;0;0;0;1;0;0;0;55.155;49.2600804847292;1;0;0
18.3;380.5801;716.667724609375;635.86181640625;29.7294706106186;72.2361371267008;0;0;0;1;0;0;0;56.947;53.7453175068827;0;1;0
58.499998;112.6;128.394500732422;96.9066696166992;41.1037713289261;371.949564586357;1;0;0;0;1;0;0;49.477;66.8457586610321;1;0;0
14.1;287.87855;598.817504882812;530.294921875;29.4442296028137;110.460874848117;0;0;0;1;0;0;0;68.911;44.8274139126108;1;0;0
12.3;369.79983;769.695617675781;682.785888671875;29.6120405197144;107.117729563883;0;0;0;1;0;0;0;71.351;50.5337672766974;0;1;0
25.72;34.1376;50.5767517089844;44.3521881103516;25.6841510534286;113.561491965533;1;0;1;0;0;0;0;39.593;57.0715852277609;1;0;0
